0,0,0,0,2388704,0,0,0,0,0,0,2388704,
2895546,0,0,0,0,2070916,0,0,0,0,0,2070916,
1966774,1812700,0,0,0,0,1852026,0,0,0,0,1852026,
1927816,2291446,2285934,0,0,0,0,1670660,0,0,0,1670660,
1664618,2261236,2254240,2863578,0,0,0,0,1637270,0,0,1637270,
1647976,2246714,2241202,2851812,4688306,0,0,0,0,1627306,0,1627306,
1632712,2235266,2234418,3461362,4687882,7749306,0,0,0,0,2239506,2239506,
1614692,2218836,2215550,3437406,4659686,7716870,13838976,0,0,0,0,2814924,
2217352,2209508,2205586,3427442,4650888,8323770,13833464,26077464,0,0,0,4038264,
2821814,2816302,2814818,3426170,5262664,8323664,13833464,26077464,49953264,0,0,5874864,
3429986,3426806,3426064,3426064,5262664,8323664,13833464,26077464,49953264,0,0,10160264,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,305082,0,0,0,0,0,0,305082,
329084,0,0,0,0,254732,0,0,0,0,0,254732,
200294,203852,0,0,0,0,213816,0,0,0,0,213816,
292786,286804,286804,0,0,0,0,194312,0,0,0,194312,
194312,286804,286804,379296,0,0,0,0,194312,0,0,194312,
194312,286804,286804,379296,656772,0,0,0,0,194312,0,194312,
194312,286804,286804,471788,656772,1119232,0,0,0,0,286804,286804,
194312,286804,286804,471788,656772,1119232,2044152,0,0,0,0,379296,
286804,286804,286804,471788,656772,1211724,2044152,3893992,0,0,0,564280,
379296,379296,379296,471788,749264,1211724,2044152,3893992,7501180,0,0,841756,
471788,471788,471788,471788,749264,1211724,2044152,3893992,7501180,0,0,1489200,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
